Fish,Sex,Date,Origin,GnRH,Age,Spawner,Maturity,Plasmaprotein ,Totallength,Growthrate,Meangrowthrate,Totalweight,Condition,Gonadosomatic index,B.Li,B.K,B.Mg,B.Ca,B.Sr,B.Ba,B.Mn,B.Cu,B.Zn,B.Li.Ca,B.K.Ca,B.Mg.Ca,B.Sr.Ca,B.Ba.Ca,B.Mn.Ca,B.Cu.Ca,B.Zn.Ca,Sal,Temp,SW.Li,SW.K,SW.Mg,SW.Ca,SW.Sr,SW.Ba,SW.Mn,SW.Cu,SW.Zn,SW.Li.Ca,SW.K.Ca,SW.Mg.Ca,SW.Sr.Ca,SW.Ba.Ca,SW.Mn.Ca,SW.Cu.Ca,SW.Zn.Ca,Opacity,Otolithgrowthrate,Meanotolithgrowthrate,O.Li,O.K,O.Mg,O.Sr,O.Ba,O.Mn,O.Cu,O.Zn,O.Li.Ca,O.K.Ca,O.Mg.Ca,O.Sr.Ca,O.Ba.Ca,O.Mn.Ca,O.Cu.Ca,O.Zn.Ca
DB206,F,26/10/2009,IS,Treated,5,S,M,4.396,27.8,0.192307692,0.047091413,234,1.09,3.35,63.97,25346.85,29480.62,134819.46,1105.34,12.92,42.97,914.72,6782.17,2.74,192.72,360.57,3.75,0.028,232.54,4.28,30.83,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,0.47,0.63,0.23,741.34,12.42,3207.87,4.63,206.21,214.75,310.06,0.0033,1.9,0.051,3.66,3.37,0.38,0.34,0.47
DB206,F,23/11/2009,IS,Treated,5,S,M,5.244333333,28.3,0.178571429,0.047091413,266,1.17,4.43,68.5,22616.73,NA,189133.34,1457.72,10.42,43.72,1018.03,6537.07,2.09,122.58,NA,3.53,0.0161,168.63,3.39,21.18,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.95,0.63,0.21,642.98,8.38,2589.93,3.01,224.8,139.85,153.75,0.0031,1.64,0.034,2.96,2.19,0.41,0.22,0.24
DB206,F,16/12/2009,IS,Treated,5,S,M,5.074,28.7,0.173913043,0.047091413,291,1.23,12.08,66.45,103619.8,26074.68,180320.55,1248.53,6.19,24.3,976,6555.54,2.13,589.05,238.44,3.17,0.01,98.3,3.41,22.28,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.48,0.63,0.22,611.91,7.69,2919.51,3.43,268.27,145.55,123.63,0.0032,1.56,0.032,3.33,2.5,0.49,0.23,0.19
DB206,F,18/01/2010,IS,Treated,5,S,M,4.094,28.7,0,0.047091413,296,1.25,13.13,62.42,21824.76,30616.09,162340.63,1144.32,11.14,29.52,732.39,4232.94,2.22,137.81,310.98,3.22,0.02,132.65,2.85,15.98,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.9,0.63,0.28,690.96,9.59,3979.04,4.71,120.63,462.75,120.46,0.004,1.77,0.039,4.54,3.43,0.22,0.73,0.18
DB206,F,01/02/2010,IS,Treated,5,S,M,4.662,28.7,0,0.047091413,279,1.18,21.51,64.37,26694.35,22557.21,164341.62,1199.94,22.19,41.95,721.3,5499.86,2.26,166.5,226.33,3.34,0.0394,186.21,2.77,20.51,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.45,0.63,0.31,771.61,10.7,4149.58,5.05,113.11,500.75,110.94,0.0045,1.97,0.044,4.74,3.68,0.21,0.79,0.17
DB206,F,15/02/2010,IS,Treated,5,S,M,3.857,28.7,0,0.047091413,284,1.2,23.02,73.01,43056.28,21404.69,165178.71,1250.63,20.38,41.98,683.29,5434.06,2.55,267.2,213.68,3.46,0.036,185.4,2.61,20.16,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0.5,0.45,0.63,0.33,826.29,11.99,3995.19,5.17,188.41,421.58,124.65,0.0048,2.11,0.049,4.56,3.76,0.34,0.66,0.19
DB206,F,15/03/2010,IS,Treated,5,S,M,4.005,28.7,0,0.047091413,300,1.27,30.43,61.96,13411.9,20833.73,162061.22,1163.72,11.92,34.22,626.62,7045.51,2.21,84.83,211.98,3.28,0.0215,154.04,2.44,26.65,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,1,0.22,0.63,0.33,829.8,13.2,3745.02,5.23,342.04,290.93,117.04,0.0048,2.12,0.054,4.28,3.81,0.62,0.46,0.18
DB206,F,19/04/2010,IS,Treated,5,S,M,3.599333333,28.7,0,0.047091413,224,0.95,7.13,59.82,99895.91,25722.3,131068.06,1016.15,13.02,30.39,473.3,5552.35,2.64,781.27,323.61,3.55,0.029,169.14,2.28,25.96,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,1,0.22,0.63,0.32,742.7,9.59,3495.35,4.91,562.78,154.11,103.93,0.0046,1.9,0.039,3.99,3.58,1.03,0.24,0.16
DB206,F,28/05/2010,IS,Treated,5,S,M,4.153,28.7,0,0.047091413,229,0.97,3.68,69.55,13092.12,38867.69,152364.27,1258.89,9.11,21.01,653.13,8526.91,2.64,88.08,420.65,3.78,0.0174,100.6,2.7,34.3,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,1.47,0.63,0.27,660.19,10.48,3204.1,4.18,511.53,170.33,468.8,0.0039,1.69,0.043,3.66,3.04,0.93,0.27,0.72
DC062,F,02/06/2009,IS,Treated,5,S,M,3.885,27.4,0,0.157894737,181,0.88,1.5,72.65,32111.58,51283.01,143614.77,1010.5,6.93,13.81,687.98,12850.5,2.92,229.19,588.82,3.22,0.0141,70.13,3.02,54.84,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,1,4.27,1.83,0.17,434.42,14.47,2595.02,2.84,1869.62,126.98,189.69,0.0024,1.11,0.06,2.96,2.07,3.41,0.2,0.29
DC062,F,21/07/2009,IS,Treated,5,S,M,2.521,28.1,0.142857143,0.157894737,234,1.05,1.14,64.25,93184.65,21125.32,101027.99,663.77,5.97,35.88,400.67,7952.28,3.67,945.77,344.84,3.01,0.0173,259.06,2.5,48.25,32.16,13.19,0.163,356.4,1182.06,370.53,6.71,0.018,0.635,0.007,0.0055,2.54,985.91,5260.36,8.28,0.0139,1.26,0.0121,0.009,1,1.39,1.83,0.21,512.85,18.97,2331.47,2.4,1793.5,102.16,324.92,0.003,1.31,0.078,2.66,1.74,3.27,0.16,0.5
DC062,F,19/08/2009,IS,Treated,5,S,M,3.732,28.4,0.103448276,0.157894737,227,0.99,1.17,49.3,21182.45,24424.67,110401.51,695.07,22.07,38.37,612.48,16968.55,2.57,196.75,364.56,2.88,0.0583,253.89,3.5,94.13,32.67,13.92,0.165,364.28,1207.02,378.17,6.84,0.019,0.566,0.0069,0.0058,2.52,987.46,5263.22,8.27,0.0145,1.11,0.0114,0.0095,1,2.09,1.83,0.19,511.95,15.31,2257.86,2.28,1536.42,94.02,319.88,0.0027,1.31,0.063,2.58,1.66,2.8,0.15,0.49
DC062,F,30/09/2009,IS,Treated,5,S,M,4.527,29.7,0.30952381,0.157894737,286,1.09,1.9,73.16,19409.89,40405.26,195916.09,1171.17,10.48,34.22,831.03,19678.48,2.16,101.56,340.08,2.73,0.0156,127.42,2.68,61.56,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,0,3.05,1.83,0.22,535.53,18.06,2310.73,2.53,1504.99,111.91,217.87,0.0031,1.37,0.074,2.64,1.84,2.74,0.18,0.33
DC062,F,23/11/2009,IS,Treated,5,S,M,4.851,31,0.240740741,0.157894737,348,1.17,4.19,64.8,34368.04,30946.15,189506.82,1151.01,13.57,59.98,815.19,10537.19,1.97,185.92,269.34,2.78,0.021,230.89,2.71,34.08,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,1,5.52,1.83,0.34,675.42,16.75,2404.61,2.72,966.55,140.72,177.05,0.0049,1.73,0.069,2.74,1.98,1.76,0.22,0.27
DC062,F,16/12/2009,IS,Treated,5,S,M,5.201,31.8,0.347826087,0.157894737,417,1.3,10.57,67.88,18917.82,24320.98,203354.98,1055.98,6.85,23.91,765.74,8811.67,1.93,95.36,197.21,2.38,0.0098,85.78,2.37,26.56,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,1,3.68,1.83,0.37,703.47,17.35,2681.45,2.91,897.79,141.65,80.15,0.0053,1.8,0.071,3.06,2.12,1.64,0.22,0.12
DC062,F,18/01/2010,IS,Treated,5,S,M,4.217,31.8,0,0.157894737,405,1.26,16.86,69.93,73022.68,28391.47,197948.88,1358.18,9.7,44.76,762.78,6929.87,2.04,378.16,236.62,3.14,0.0143,165.02,2.43,21.47,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.54,1.83,0.34,678.84,15.1,3031.95,3.38,703.84,170.07,97.55,0.0049,1.74,0.062,3.46,2.46,1.28,0.27,0.15
DC062,F,01/02/2010,IS,Treated,5,S,M,5.252,31.8,0,0.157894737,421,1.31,24.27,67.77,48471.31,28498.87,208929.57,1453.4,7.19,54.2,758.51,7123.55,1.87,237.81,224.93,3.18,0.01,189.23,2.29,20.9,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.54,1.83,0.32,669.2,14.43,3073.45,3.5,693.57,177.46,102.74,0.0046,1.71,0.059,3.51,2.55,1.26,0.28,0.16
DC062,F,15/02/2010,IS,Treated,5,S,M,3.487,32.1,0.214285714,0.157894737,385,1.16,19.05,69.95,81259.52,19514.09,154601.18,1102.97,6.48,43.71,538.23,6763.92,2.61,538.78,208.14,3.26,0.0122,206.28,2.2,26.82,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0,0.54,1.83,0.3,664.39,14.11,3077.12,3.59,721.03,184.72,115.59,0.0044,1.7,0.058,3.51,2.62,1.31,0.29,0.18
DC062,F,15/03/2010,IS,Treated,5,S,M,3.412,32.1,0,0.157894737,336,1.02,11.24,61.31,72450.14,23023.24,113853.54,960.67,21.47,23.78,720.77,12300.72,3.11,652.3,333.45,3.86,0.055,152.39,3.99,66.22,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.57,1.83,0.29,678.68,14.92,3012.15,3.63,896.66,198.73,162.57,0.0042,1.74,0.061,3.44,2.64,1.63,0.31,0.25
DC062,F,19/04/2010,IS,Treated,5,S,M,3.807,32.3,0.057142857,0.157894737,334,0.99,2.63,58.96,20158.7,29530.93,148016.45,946.11,7.02,43.07,647.58,11458.96,2.3,139.61,328.99,2.92,0.0138,212.25,2.76,47.45,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,1,0.97,1.83,0.3,708.69,17.37,2868.43,3.37,1324.16,218.2,266.05,0.0044,1.81,0.071,3.27,2.45,2.41,0.34,0.41
DC062,F,28/05/2010,IS,Treated,5,S,M,4.153,33.1,0.205128205,0.157894737,364,1,2.08,66.24,73599.45,29176.97,140828.33,904.11,5.88,19.19,689.59,10632.21,2.72,535.72,341.63,2.94,0.0122,99.41,3.09,46.27,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,2.4,1.83,0.32,718.86,21.08,2700.67,2.91,1689.98,252.9,419.24,0.0046,1.84,0.087,3.08,2.12,3.08,0.4,0.64
DCBB4,F,02/06/2009,IS,Treated,4,NS,IM,2.64,27.6,0,0.030470914,174,0.83,3.63,65.41,85952.35,22661.23,112655.63,864.94,2.27,11.69,444.03,11100.51,3.35,782.1,331.69,3.51,0.0059,75.68,2.49,60.39,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,0,0.12,0.5,0.27,656.69,16.73,2391.69,1.8,1250.32,178.59,229.3,0.0038,1.68,0.069,2.73,1.31,2.28,0.28,0.35
DCBB4,F,08/07/2009,IS,Treated,4,NS,IM,2.321,27.6,0,0.030470914,169,0.81,5.07,71.88,73514.22,22033.84,123394.36,929.48,3.9,30.34,439.81,10452.16,3.35,609.2,293.92,3.45,0.0092,180.07,2.25,51.94,32.15,13.33,0.161,352.65,1170.67,365.91,6.64,0.017,0.66,0.0069,0.0052,2.55,987.88,5275.71,8.3,0.0135,1.32,0.012,0.0087,0.5,0.34,0.5,0.28,663.62,20.25,2336.47,1.59,1196.65,171.2,204.94,0.004,1.7,0.083,2.67,1.16,2.18,0.27,0.31
DCBB4,F,06/08/2009,IS,Treated,4,NS,IM,2.564,27.6,0,0.030470914,156,0.74,4.63,61.84,103850.35,22980.28,122212.9,1135.32,4.02,17.76,736.29,12461.37,2.92,871.05,310.06,4.25,0.0096,106.02,3.8,62.49,32.37,13.67,0.164,360.78,1195.75,375.17,6.78,0.018,0.6,0.007,0.0057,2.53,985.68,5255.3,8.27,0.0143,1.18,0.0118,0.0093,1,0.44,0.5,0.27,646.2,19.5,2360.52,1.51,1049.95,157.73,177.61,0.0039,1.65,0.08,2.69,1.1,1.91,0.25,0.27
DCBB4,F,30/09/2009,IS,Treated,4,NS,IM,3.192,27.6,0,0.030470914,173,0.82,5.28,69.85,46441.72,32854.3,117818.54,980.3,24.71,14.12,639.34,10009.14,3.42,404.06,459.82,3.81,0.0612,87.41,3.42,52.07,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,1,0.4,0.5,0.24,593.43,12.32,2607.23,1.62,501.52,108.14,64.88,0.0035,1.52,0.051,2.98,1.18,0.91,0.17,0.1
DCBB4,F,26/10/2009,IS,Treated,4,NS,IM,2.97,27.6,0,0.030470914,166,0.79,3.33,64.42,30087.21,20603.52,112798.22,850.47,23.83,10.94,577.64,8593.58,3.3,273.42,301.2,3.45,0.0617,70.78,3.23,46.69,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,1,0.73,0.5,0.26,613.37,11.69,2640.46,1.7,512.39,109.47,115.09,0.0037,1.57,0.048,3.01,1.24,0.93,0.17,0.18
DCBB4,F,23/11/2009,IS,Treated,4,NS,IM,3.164,27.8,0.071428571,0.030470914,190,0.88,3.21,66.75,58360.5,26141.33,120101.89,977.19,7.31,14.86,802.19,9049.12,3.21,498.1,358.91,3.72,0.0178,90.27,4.21,46.18,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,1,0.84,0.5,0.23,564.05,8.18,2592.58,1.51,432.12,113.12,156.45,0.0033,1.44,0.034,2.96,1.1,0.79,0.18,0.24
DCBB4,F,16/12/2009,IS,Treated,4,NS,IM,3.322,28.1,0.130434783,0.030470914,213,0.96,3.48,72.86,25959.96,27065.76,131590.16,978.13,2.82,16.76,940.46,10930.62,3.2,202.22,339.16,3.4,0.0063,92.91,4.51,50.91,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,1,0.84,0.5,0.24,568.82,7.41,2556.16,1.37,381.53,122.6,100.92,0.0034,1.45,0.03,2.92,1,0.69,0.19,0.15
DCBB4,F,18/01/2010,IS,Treated,4,NS,IM,3.374,28.1,0,0.030470914,207,0.93,3.26,64.58,17096.74,33769.14,126099.34,964.54,5.44,20.19,735.36,9029.98,2.96,138.97,441.46,3.5,0.0126,116.82,3.68,43.89,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,1,0.84,0.5,0.3,623.46,7.93,2728.02,1.9,513.29,176.06,216.48,0.0043,1.59,0.033,3.11,1.38,0.93,0.28,0.33
DCBB4,F,01/02/2010,IS,Treated,4,NS,IM,3.245,28.1,0,0.030470914,202,0.91,2.1,70.26,66914.27,20518.01,125029.09,1316.37,18.02,15.19,707.24,8874.86,3.24,548.6,270.6,4.82,0.0421,88.65,3.57,43.51,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,1,0.84,0.5,0.32,652.58,8.46,3023.09,2.92,486.64,245.04,478.24,0.0046,1.67,0.035,3.45,2.13,0.89,0.39,0.73
DCBB4,F,15/02/2010,IS,Treated,4,NS,IM,3.116,28.1,0,0.030470914,218,0.98,2.04,65.15,70435.69,30128.97,128603.95,1310.04,4.72,12.59,703.21,9019.12,2.93,561.42,386.31,4.66,0.0107,71.41,3.45,42.98,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,1,0.62,0.5,0.33,647.74,9.56,3337.44,3.74,489.27,370.72,562.37,0.0048,1.66,0.039,3.81,2.72,0.89,0.58,0.86
DCBB4,F,15/03/2010,IS,Treated,4,NS,IM,3.536,28.2,0.035714286,0.030470914,211,0.94,2.03,58.48,44452.16,27585.42,117416.9,1067.91,8.73,11.54,666.56,9008.71,2.88,388.07,387.4,4.16,0.0217,71.72,3.58,47.02,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.59,0.5,0.35,696.32,14.68,3565.36,4.87,978.44,300.92,301.86,0.005,1.78,0.06,4.07,3.54,1.78,0.47,0.46
DCBB4,F,19/04/2010,IS,Treated,4,NS,IM,3.141,28.4,0.057142857,0.030470914,219,0.96,1.81,55.32,27245.16,23675.77,106685.37,880.28,23.7,25.79,554.44,8101.49,2.99,261.78,365.94,3.77,0.0648,176.34,3.28,46.54,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.75,0.5,0.32,741.56,13.28,3556.18,5.35,1336.7,60.91,235.18,0.0047,1.9,0.055,4.06,3.89,2.43,0.1,0.36
DCBB4,F,28/05/2010,IS,Treated,4,NS,IM,3.931,28.7,0.076923077,0.030470914,218,0.92,1.65,73.04,35950.19,26770.49,144759.47,1165.18,6.69,20.98,837.98,12585.74,2.91,254.57,304.94,3.68,0.0135,105.71,3.65,53.29,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,0.93,0.5,NA,NA,NA,3400.93,4.63,849.56,164.93,461.3,NA,NA,NA,3.88,3.37,1.55,0.26,0.71
DCDAC,F,27/10/2009,EC,Non-treated,3,NS,IM,2.941,29.8,0,0.037558685,242,0.91,0.6,52.25,22641.34,22241.57,102363.63,685.69,7.14,21.93,740.33,11915.02,2.95,226.73,358.29,3.06,0.0203,156.31,4.56,71.34,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,0.32,0.62,0.17,482.28,6.42,2785.77,2.79,281.53,181.27,135.48,0.0025,1.23,0.026,3.18,2.04,0.51,0.29,0.21
DCDAC,F,23/11/2009,EC,Non-treated,3,NS,IM,2.230666667,29.9,0.035714286,0.037558685,223,0.83,0.63,68.76,129805.15,28842.74,112791.27,735.97,4.61,41.65,566.48,9331.3,3.52,1179.69,421.67,2.98,0.0119,269.41,3.17,50.71,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.32,0.62,0.25,590.95,8.59,3040.37,3.49,379.2,203.37,224.29,0.0036,1.51,0.035,3.47,2.55,0.69,0.32,0.34
DCDAC,F,16/12/2009,EC,Non-treated,3,NS,IM,2.097,30.1,0.086956522,0.037558685,250,0.92,0.57,71.03,22900.28,17958.46,98229.75,632.26,4.94,28.46,450.57,7400.62,4.18,239.01,301.68,2.95,0.0147,211.41,2.89,46.19,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.32,0.62,0.31,632.3,9.38,3234.9,3.93,478.13,211.57,249.47,0.0045,1.62,0.039,3.69,2.86,0.87,0.33,0.38
DCDAC,F,18/01/2010,EC,Non-treated,3,NS,IM,2.526,30.2,0.03030303,0.037558685,234,0.85,0.6,53.53,15056.26,26528.38,119133.46,825.86,7.21,47.03,541.84,9487.68,2.59,129.55,367.19,3.17,0.0177,287.97,2.87,48.81,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,1,0.58,0.62,0.38,723.52,9.45,3496.1,4.35,625.38,204.29,197.77,0.0055,1.85,0.039,3.99,3.16,1.14,0.32,0.3
DCDAC,F,15/02/2010,EC,Non-treated,3,NS,IM,3.067,30.3,0.035714286,0.037558685,256,0.92,0.54,59.2,52650.15,20776.92,116349.83,835.76,2.95,19.22,372.9,8722.75,2.93,463.67,293.9,3.28,0.0074,120.74,2.02,45.9,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,1,0.69,0.62,0.41,781.62,11.16,3631.54,4.48,776.28,206.9,156.62,0.0059,2,0.046,4.15,3.26,1.41,0.33,0.24
DCDAC,F,15/03/2010,EC,Non-treated,3,NS,IM,2.721,30.4,0.035714286,0.037558685,258,0.92,0.53,63.82,19460.45,22778.4,121301.27,913.43,8.22,28.01,522.85,12337.41,3.04,164.45,309.65,3.44,0.0198,168.47,2.72,62.34,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,1,0.48,0.62,0.42,832.12,12.56,3633.35,4.35,1030.89,244.91,246.42,0.006,2.13,0.052,4.15,3.17,1.88,0.39,0.38
DCDAC,F,19/04/2010,EC,Non-treated,3,NS,IM,2.919,30.6,0.057142857,0.037558685,250,0.87,0.55,62.94,16165.19,24039.94,115612.17,945.23,16.37,18.2,492.8,12220.09,3.14,143.33,342.88,3.74,0.0413,114.85,2.69,64.78,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0.5,0.46,0.62,0.41,806.75,15.23,3554.28,4,1291.23,278.9,396.65,0.0059,2.06,0.063,4.06,2.91,2.35,0.44,0.61
DCDAC,F,28/05/2010,EC,Non-treated,3,NS,IM,2.894,30.6,0,0.037558685,252,0.88,0.55,75.54,14545.4,22195.7,119030.81,967.92,7.86,11.86,540.85,12869.73,3.66,125.26,307.48,3.72,0.0193,72.68,2.87,66.27,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,1.41,0.62,0.34,750.61,14.54,3364.63,4.06,866.3,232.18,243.41,0.0049,1.92,0.06,3.84,2.96,1.58,0.37,0.37
DCF3D,M,02/06/2009,IS,Treated,3,S,M,2.318,23.6,0,0.130193906,117,0.89,NA,64.69,113730.55,40923.08,119660.3,1465.33,3.04,13.91,540.16,13344.6,3.12,974.27,563.93,5.6,0.0074,84.81,2.85,68.35,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,0,1.89,1.48,0.21,545.47,10,4352.53,4.31,852.02,235.6,38.28,0.003,1.4,0.041,4.97,3.14,1.55,0.37,0.06
DCF3D,M,21/07/2009,IS,Treated,3,S,M,3.414,23.9,0.06122449,0.130193906,115,0.84,NA,66.31,70004.19,34187.35,126060.71,1404.36,18.26,27.62,541.42,15549.25,3.04,569.24,447.19,5.1,0.0423,159.85,2.71,75.6,32.16,13.19,0.163,356.4,1182.06,370.53,6.71,0.018,0.635,0.007,0.0055,2.54,985.91,5260.36,8.28,0.0139,1.26,0.0121,0.009,0,1.42,1.48,0.25,660.63,16.46,3299.33,4.08,1660.91,226.57,471.02,0.0036,1.69,0.068,3.77,2.97,3.03,0.36,0.72
DCF3D,M,19/08/2009,IS,Treated,3,S,M,3.91,24.1,0.068965517,0.130193906,132,0.94,NA,68.28,56784.74,34203.26,148920.51,1285.53,8.65,22.78,701.68,17794.52,2.65,390.87,378.72,3.95,0.017,111.6,2.97,73.24,32.67,13.92,0.165,364.28,1207.02,378.17,6.84,0.019,0.566,0.0069,0.0058,2.52,987.46,5263.22,8.27,0.0145,1.11,0.0114,0.0095,1,1.42,1.48,0.25,659.49,18.28,2951.91,3.64,1874.96,161.67,319.51,0.0035,1.69,0.075,3.37,2.65,3.42,0.25,0.49
DCF3D,M,30/09/2009,IS,Treated,3,S,M,4.255,24.5,0.095238095,0.130193906,154,1.05,NA,67.64,32432.4,30907.76,133290.46,987.78,4.72,25.56,706.05,15274.15,2.93,249.42,382.37,3.39,0.0103,139.9,3.34,70.23,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,1,1.24,1.48,0.27,722.74,14.3,2810.92,3.27,2217.34,136.46,230.88,0.0039,1.85,0.059,3.21,2.38,4.04,0.21,0.35
